name,address,business_status,latitude,longitude,coordonnees_gps,temp
CADUM PALMOLIVE SPORTS,"Av. du Vermandois, Compiègne",OPERATIONAL,2.840127,49.430994,"49.430994,2.840127",2.840127
CLAIROIX TENNIS CLUB,"Rue du Marais, Clairoix",OPERATIONAL,2.83873,49.446478,"49.446478,2.83873",2.83873
Le Stadium - Complexe Multisports,"43 Rte de Choisy, Compiègne",OPERATIONAL,2.849432,49.427907,"49.427907,2.849432",2.849432
MARGNY LES COMPIEGNE TC,"194 Rue Louis Gracin, Margny-lès-Compiègne",OPERATIONAL,2.828122,49.429298,"49.429298,2.828122",2.828122
Ucpa Sport Station Grand Reims,"5 Bd Jules César, Reims",OPERATIONAL,4.0299549,49.2628288,"49.2628288,4.0299549",4.0299549
Inter Tennis,"83 Rue de Saint-Brice, Reims",OPERATIONAL,4.0173536,49.2602219,"49.2602219,4.0173536",4.0173536
TRC DE LA MUIRE,"12 Av. du 29 Août 1944, Tinqueux",OPERATIONAL,3.998165,49.24894,"49.24894,3.998165",3.998165
BASSE HAM TC,"Rue du Stade, Basse-Ham",OPERATIONAL,6.2320367,49.3829223,"49.3829223,6.2320367",6.2320367
MANOM TC,"Rte de Garche, Florange",OPERATIONAL,6.183332999999999,49.366718,"49.366718,6.183332999999999",6.183332999999999
Tennis Club,"Rue du Bac, Cattenom",OPERATIONAL,6.249472000000001,49.402702,"49.402702,6.249472000000001",6.249472000000001
COTENT' INDOOR,"125 Rue Baptiste Marcet, Cherbourg-en-Cotentin",OPERATIONAL,-1.593868,49.6349224,"49.6349224,-1.593868",-1.593868
VALOGNES LA VALOGNAISE,"rue de bourgneuf, Valognes",OPERATIONAL,-1.473552,49.51482799999999,"49.51482799999999,-1.473552",-1.473552
Art Sport Café,"8 Rue Marcel Toulouzan, Le Havre",OPERATIONAL,0.1464614,49.48655309999999,"49.48655309999999,0.1464614",0.1464614
Havre Tennis Club,"26 Rue du Fort, Le Havre",OPERATIONAL,0.0957083,49.5021137,"49.5021137,0.0957083",0.0957083
Tennis Club,"Rue Guy de Maupassant, Pierrefiques",OPERATIONAL,0.204619,49.7064642,"49.7064642,0.204619",0.204619
PAVILLY BARENTIN TC,"Restaurant LA ROUGE GRANGE, Rue de Freckenhorst, Pavilly",OPERATIONAL,0.949614,49.572372,"49.572372,0.949614",0.949614
MALAUNAY TC,"Rue Louis Lesouef, Malaunay",OPERATIONAL,1.0360304,49.5236093,"49.5236093,1.0360304",1.0360304
Tennis Club,"Rue Victor Hugo, Notre-Dame-de-Bondeville",OPERATIONAL,1.047892,49.49042499999999,"49.49042499999999,1.047892",1.047892
Bondeville Tennis Club,"4 Rue Victor Hugo, Notre-Dame-de-Bondeville",OPERATIONAL,1.0436104,49.4915047,"49.4915047,1.0436104",1.0436104
Padel Arena,"16 ZA du gros chêne, Rte de Dieppe, Isneauville",OPERATIONAL,1.1497911,49.5037812,"49.5037812,1.1497911",1.1497911
MONTS D'AMBAZAC,"Domaine de Muret, Grez",OPERATIONAL,1.9782998,49.6395312,"49.6395312,1.9782998",1.9782998
Raquettes Club Axonais,"Chem. de la Croix de Chivy, Laon",OPERATIONAL,3.6389328,49.5575364,"49.5575364,3.6389328",3.6389328
Letzpickleball Garisart,"ZA, Arlon",OPERATIONAL,5.823867799999999,49.6502181,"49.6502181,5.823867799999999",5.823867799999999
CK Sportcenter Kockelscheuer,"20 Rte de Bettembourg, Luxembourg",OPERATIONAL,6.1098018,49.5730778,"49.5730778,6.1098018",6.1098018
Nordicdots - Tennis and Padel,"38 Rue Charles Darwin, Luxembourg",OPERATIONAL,6.1233917,49.5848852,"49.5848852,6.1233917",6.1233917
CK Sport & Fitness,"Rte de Bettembourg, Luxembourg",OPERATIONAL,6.108705,49.5720471,"49.5720471,6.108705",6.108705
Nouvel Espace Weyler,"ZA 30, Arlon",OPERATIONAL,5.8260931,49.6488285,"49.6488285,5.8260931",5.8260931
Sport4Lux,"34 Rue Gabriel Lippmann, Schuttrange",OPERATIONAL,6.2721703,49.6436457,"49.6436457,6.2721703",6.2721703
Padel Tennis Mannheim,Mannheim,OPERATIONAL,8.500144299999999,49.4966885,"49.4966885,8.500144299999999",8.500144299999999
"Pfrimmparkarena | Tennis, Padel, Badminton & Beachvolleyball","Wehrgasse 20, Worms",OPERATIONAL,8.3272474,49.6360934,"49.6360934,8.3272474",8.3272474
FECAMP TENNIS CLUB,"Chemin ST JACQUES, Fécamp",OPERATIONAL,0.3807517,49.7556368,"49.7556368,0.3807517",0.3807517
PALUEL TC,"Hameau de, Rte des Tennis, Paluel",OPERATIONAL,0.6305318999999999,49.84914029999999,"49.84914029999999,0.6305318999999999",0.6305318999999999
Multiball,"51 Rue de Sully, Amiens",OPERATIONAL,2.2718593,49.9084009,"49.9084009,2.2718593",2.2718593
SALOUEL RACING CLUB,"22,route de Normandie, Rue Victor Hugo, Salouël",OPERATIONAL,2.237908,49.867691,"49.867691,2.237908",2.237908
Teams5 Amiens,"25 Rue le Tintoret, Amiens",OPERATIONAL,2.3012224,49.9259564,"49.9259564,2.3012224",2.3012224
AILLY SUR NOYE TC,"10 Rue de Grattepanche, Oresmaux",OPERATIONAL,2.3602384,49.7562512,"49.7562512,2.3602384",2.3602384
PERONNE TENNIS CLUB,"Rue Jean Toeuf, Péronne",OPERATIONAL,2.9312579,49.9385316,"49.9385316,2.9312579",2.9312579
