name,address,business_status,latitude,longitude,coordonnees_gps,temp
Pista de pádel,"Diseminado Diseminados, 14, Villovieco",OPERATIONAL,-4.4833536,42.2929338,"42.2929338,-4.4833536",-4.4833536
Pistas de pádel,"C. la Motilla, 4, Villagonzalo Pedernales",OPERATIONAL,-3.739499699999999,42.3004506,"42.3004506,-3.739499699999999",-3.739499699999999
Pista Pádel,Unnamed Road 09390,OPERATIONAL,-3.6916684,42.0951206,"42.0951206,-3.6916684",-3.6916684
Pista de padel,"Calle la Iglesia, 22, Igea",OPERATIONAL,-2.0075315,42.070266,"42.070266,-2.0075315",-2.0075315
Gpadel,"C. Zapatilleros, 54, Arnedo",OPERATIONAL,-2.0859012,42.2339439,"42.2339439,-2.0859012",-2.0859012
Pista de Pádel,El Villar de Arnedo,OPERATIONAL,-2.0924985,42.3206131,"42.3206131,-2.0924985",-2.0924985
Padel Club Rioja,"Av. Logroño, 42, Arnedo",CLOSED_TEMPORARILY,-2.0937533,42.2324989,"42.2324989,-2.0937533",-2.0937533
Inpadel,"C. San Lázaro, 45, Calahorra",OPERATIONAL,-1.9448715,42.2920494,"42.2920494,-1.9448715",-1.9448715
Pistas de padel.,Funes,CLOSED_TEMPORARILY,-1.8019486,42.3182045,"42.3182045,-1.8019486",-1.8019486
Pistas Deportivas Arrabal,Cintruénigo,OPERATIONAL,-1.8065412,42.0749402,"42.0749402,-1.8065412",-1.8065412
Ultimate Padel Villafranca,"C. Carretera, Villafranca",OPERATIONAL,-1.7445322,42.2725754,"42.2725754,-1.7445322",-1.7445322
RÍOS Pádel Club,"C. de La Rioja, Tudela",OPERATIONAL,-1.6347392,42.0654417,"42.0654417,-1.6347392",-1.6347392
Pádel Castejón,"Pol. Ind., Castejón",OPERATIONAL,-1.6879819,42.1736073,"42.1736073,-1.6879819",-1.6879819
MisterPadelEjea,Ejea de los Caballeros,OPERATIONAL,-1.1708125,42.1320478,"42.1320478,-1.1708125",-1.1708125
Pista de pádel,"50614, Zaragoza, Spain",OPERATIONAL,-0.7584025,42.1525322,"42.1525322,-0.7584025",-0.7584025
"Zonepadel, Paddle Club in Huesca","Poligono Sepes, Ronda de la Industria, 133, Huesca",OPERATIONAL,-0.3879114,42.1442861,"42.1442861,-0.3879114",-0.3879114
X3 INDOOR HUESCA PADEL SL,"C. Alcañiz, 4, Huesca",OPERATIONAL,-0.4181272,42.1288738,"42.1288738,-0.4181272",-0.4181272
Indoor Huesca,"C. Siderurgia, 1, Nave 68, Huesca",OPERATIONAL,-0.3909582,42.14579790000001,"42.14579790000001,-0.3909582",-0.3909582
Club Tenis Osca,"Cam. de Cocorón, Huesca",OPERATIONAL,-0.4266597,42.1328277,"42.1328277,-0.4266597",-0.4266597
Fito Pádel,"C. Don Joaquín Costa, 25, Graus",OPERATIONAL,0.3410147,42.1958303,"42.1958303,0.3410147",0.3410147
Pádel municipal El Grado,"Ctra. Graus, 6B, El Grado",OPERATIONAL,0.229599,42.1475768,"42.1475768,0.229599",0.229599
Pista de pádel,Salas Bajas,OPERATIONAL,0.0842041999999999,42.1031673,"42.1031673,0.0842041999999999",0.0842041999999999
Click and Padel,"Carrer Josep Escaler, 7, Oliana",OPERATIONAL,1.312411,42.068117,"42.068117,1.312411",1.312411
Pàdel Indoor,"Carrer Camí Garreta, 34, Berga",OPERATIONAL,1.8261697,42.0923054,"42.0923054,1.8261697",1.8261697
"Agrupació Esportiva Ripollès, Tennis&Pàdel","N-260, Sant Joan de les Abadesses",OPERATIONAL,2.2409498,42.2217797,"42.2217797,2.2409498",2.2409498
Club Tennis Campdevànol,Campdevànol,OPERATIONAL,2.1692991,42.2298749,"42.2298749,2.1692991",2.1692991
Pàdel Indoor Garrotxa,"Polígon Industrial, Carrer dels Enginyers, 13, Les Preses",OPERATIONAL,2.4668625,42.15047819999999,"42.15047819999999,2.4668625",2.4668625
Club de Tennis Sant Quirze de Besora,"Carrer de Jeroni Guixà, s/n, Sant Quirze de Besora",OPERATIONAL,2.2250362,42.0992564,"42.0992564,2.2250362",2.2250362
Club De Tenis Camprodon,"Carrer del Bac de Sant Pere, 4, Camprodon",OPERATIONAL,2.3731669,42.3124808,"42.3124808,2.3731669",2.3731669
Club Tennis Olot,"Av. Equador, 8, 10, Olot",OPERATIONAL,2.4826803,42.1721663,"42.1721663,2.4826803",2.4826803
Club Poliesportiu Santjoanenc,"Carrer Paperera Torras, 2, Sant Joan les Fonts",OPERATIONAL,2.5170471,42.2134857,"42.2134857,2.5170471",2.5170471
Club Tenis Banyoles,"Paseo Antoni Darder, 0 S/N, Passeig Darder, 55, Banyoles",OPERATIONAL,2.7549926,42.1161165,"42.1161165,2.7549926",2.7549926
Gimnàs Triops,"Carrer del Dr. Mascaró, 23, Banyoles",OPERATIONAL,2.7651208,42.1252885,"42.1252885,2.7651208",2.7651208
Pàdel Estany,"Passeig de la Indústria, s/n, Porqueres",OPERATIONAL,2.7867278,42.1059352,"42.1059352,2.7867278",2.7867278
Pàdel Indoor Figueres,"Carrer Itàlia, 30, Figueres",OPERATIONAL,2.9829373,42.2632988,"42.2632988,2.9829373",2.9829373
Club Tennis Alt Empordà Figueres,"Pujada del Castell, 53, Figueres",OPERATIONAL,2.9552201,42.2697575,"42.2697575,2.9552201",2.9552201
Club Tennis Figueres,"Carrer del Camí de la Bòbila, s/n, Santa Llogaia d'Àlguema",OPERATIONAL,2.961587,42.23760499999999,"42.23760499999999,2.961587",2.961587
Padbol Vilafant,"Diseminado, 1, Vilafant",OPERATIONAL,2.957323,42.243595,"42.243595,2.957323",2.957323
Centre Esportiu Vilafant,"Disseminat, s/n, Vilafant",OPERATIONAL,2.9586291,42.2437651,"42.2437651,2.9586291",2.9586291
Club Tennis Padel Roses,"Ctra. Mas Oliva, 53, Roses",OPERATIONAL,3.183961,42.269231,"42.269231,3.183961",3.183961
Pàdel Club Vilacolum,"Carrer Clavells, 24, Torroella de Fluvià",OPERATIONAL,3.0330041,42.1965453,"42.1965453,3.0330041",3.0330041
The Padel Factory,"Carrer Sant Grau, 1, Albons",OPERATIONAL,3.0836993,42.1045445,"42.1045445,3.0836993",3.0836993
Club de Tennis L'Escala,"Carrer de l'Escorxador, 79, L'Escala",OPERATIONAL,3.1287379,42.1224174,"42.1224174,3.1287379",3.1287379
Hat-Trick Palol de Vilatenim - EPSI,"Palol de Vilatenim 17600, Palol",OPERATIONAL,3.0162165,42.2722231,"42.2722231,3.0162165",3.0162165
Agi Rescator Sports,"Carrer Amsterdam, 27, El Mas Oliva",OPERATIONAL,3.1912533,42.2713343,"42.2713343,3.1912533",3.1912533
Pistas de Pádel,"Cjón. Huertas San Zoilo, 3, Carrión de los Condes",OPERATIONAL,-4.607797,42.3365156,"42.3365156,-4.607797",-4.607797
Pistas de Padel,"Av. Carr. de Abia, s/n, Osorno",OPERATIONAL,-4.362204699999999,42.4135749,"42.4135749,-4.362204699999999",-4.362204699999999
Pista de Pádel,Osornillo,OPERATIONAL,-4.2895654,42.3702355,"42.3702355,-4.2895654",-4.2895654
+Padel,"Calle Condado de Treviño, 67 naves 34-35, Burgos",OPERATIONAL,-3.7222659,42.3722134,"42.3722134,-3.7222659",-3.7222659
Blues padel,"C. Condado de Treviño, 40, Burgos",OPERATIONAL,-3.7139503,42.3723446,"42.3723446,-3.7139503",-3.7139503
Pista de pádel de Arroyal,Alfoz de Quintanadueñas,OPERATIONAL,-3.7449391,42.4101711,"42.4101711,-3.7449391",-3.7449391
Pista de Padel Quintanaortuño,"Diseminado Diseminados, 1, Quintanaortuño",OPERATIONAL,-3.6860105,42.4538461,"42.4538461,-3.6860105",-3.6860105
Pista de pádel Villalbilla,"Urb. San Roque, 32, Villalbilla de Burgos",OPERATIONAL,-3.7772299,42.3443891,"42.3443891,-3.7772299",-3.7772299
CDM General Yagüe,"Av. de la Constitución Española, 7, Burgos",OPERATIONAL,-3.6757549,42.3474837,"42.3474837,-3.6757549",-3.6757549
Padel Six Burgos,"Pol. Ind. Taglosa, naves Taglosa, 2-A, Burgos",OPERATIONAL,-3.65027,42.357268,"42.357268,-3.65027",-3.65027
BURPADEL,"Km 243, Naves Taglosa, nº 1, Ctra. Madrid-Irún, Burgos",OPERATIONAL,-3.6496884,42.3569227,"42.3569227,-3.6496884",-3.6496884
Club El Soto,"Est. Logroño-Vigo, Km 105, Burgos",OPERATIONAL,-3.6313621,42.3413848,"42.3413848,-3.6313621",-3.6313621
Club de Tenis de Burgos,"Pje. Fuentes Blancas, Burgos",OPERATIONAL,-3.6401227,42.3357519,"42.3357519,-3.6401227",-3.6401227
Pistas de Padel,Logroño,OPERATIONAL,-2.496934,42.438278,"42.438278,-2.496934",-2.496934
Club de Padel la Grajera,"Camino del pantano de la Grajera, s/n, Logroño",CLOSED_TEMPORARILY,-2.5049607,42.449416,"42.449416,-2.5049607",-2.5049607
Campo de Golf Logroño,"Carretera Burgos Km 2 Parque de La Grajera, Logroño",OPERATIONAL,-2.4970774,42.4383142,"42.4383142,-2.4970774",-2.4970774
Club Deportivo Cenicero,"Av. Olímpica, 25, Cenicero",OPERATIONAL,-2.6339513,42.4821897,"42.4821897,-2.6339513",-2.6339513
Padel La Ribera,"P.º del Prior, 6, Logroño",OPERATIONAL,-2.4348664,42.4703796,"42.4703796,-2.4348664",-2.4348664
Alos pádel indoor,"Polígono Industrial Cantabria, C. Majuelo, 4, Logroño",OPERATIONAL,-2.4091597,42.4756605,"42.4756605,-2.4091597",-2.4091597
Padel & Gym,"NA-134, Viana",OPERATIONAL,-2.3951013,42.4763789,"42.4763789,-2.3951013",-2.3951013
Pistas de Padel,Logroño,OPERATIONAL,-2.4584665,42.4762193,"42.4762193,-2.4584665",-2.4584665
Club De Tenis & Padel,"C/ Rosa Chacel, Logroño",OPERATIONAL,-2.4708439,42.4626635,"42.4626635,-2.4708439",-2.4708439
Pista de pádel,"Polideportivo Universitario, P.º del Prior, 107, Logroño",OPERATIONAL,-2.4217072,42.4675081,"42.4675081,-2.4217072",-2.4217072
Pistas de pádel cubiertas,Logroño,OPERATIONAL,-2.4249086,42.4653656,"42.4653656,-2.4249086",-2.4249086
Polideportivo Municipal Arrúbal,"Cam. el Soto, Arrúbal",OPERATIONAL,-2.2496508,42.4310157,"42.4310157,-2.2496508",-2.2496508
Centro Deportivo Sociocultural Militar 'Hípica de Logroño',"Av. de la Playa, 4, Logroño",OPERATIONAL,-2.4552249,42.47247309999999,"42.47247309999999,-2.4552249",-2.4552249
Piscina Las Norias Logroño,"Complejo Deportivo Municipal Las Norias, Camino de las Norias, s/n, Logroño",OPERATIONAL,-2.4567344,42.4749214,"42.4749214,-2.4567344",-2.4567344
Azento Padel,"C. Bodegas el Cortijo, 60, Logroño",CLOSED_TEMPORARILY,-2.2361254,42.3493196,"42.3493196,-2.2361254",-2.2361254
Pista Padel,"Colegio Público San Miguel, Ctra. Balsa, 54, Larraga",OPERATIONAL,-1.8563867,42.5592254,"42.5592254,-1.8563867",-1.8563867
Frontón de Carcar,"C. la Paz, 24, Cárcar",OPERATIONAL,-1.9825222,42.3961631,"42.3961631,-1.9825222",-1.9825222
Tafallako Igerilekuak,"C. Ábaco, 54, Tafalla",OPERATIONAL,-1.679316,42.5213356,"42.5213356,-1.679316",-1.679316
SMASH padel jaca,"C. Río Gállego, 14, Jaca",OPERATIONAL,-0.566735,42.5625384,"42.5625384,-0.566735",-0.566735
CLUB DATCHBALL SABIÑÁNIGO,"C. Derechos Humanos, 3, Sabiñánigo",OPERATIONAL,-0.3612183,42.5027913,"42.5027913,-0.3612183",-0.3612183
Zona Deportiva la Corona,"P.º de la Corona, 0, Sabiñánigo",OPERATIONAL,-0.3666706,42.5269801,"42.5269801,-0.3666706",-0.3666706
Centro Deportivo Municipal de Fiscal,"Av. Jesús, s/n, Fiscal",OPERATIONAL,-0.1170845,42.4980994,"42.4980994,-0.1170845",-0.1170845
Padel Life & Mas,Aínsa,OPERATIONAL,0.1491417,42.4185121,"42.4185121,0.1491417",0.1491417
Instalaciones deportivas municipales,Lafortunada,OPERATIONAL,0.1959505,42.5432679,"42.5432679,0.1959505",0.1959505
Padel Serradells,"Centre Esportiu Serradells, Ctra. de la Comella i de la Plana, Andorra la Vella",OPERATIONAL,1.5195095,42.499396,"42.499396,1.5195095",1.5195095
Padel CAL PUJOL,"C/ Nord, Alàs",OPERATIONAL,1.5068644,42.3516799,"42.3516799,1.5068644",1.5068644
Urban Sport Padel Club La Seu,La Seu d'Urgell,OPERATIONAL,1.46235,42.3606273,"42.3606273,1.46235",1.46235
Padel & Putting Green Mas d'en Roqueta,"Mas d'en Roqueta, 1, Aravell",OPERATIONAL,1.402932,42.366471,"42.366471,1.402932",1.402932
Princiesport,"Av. d'Enclar, núm, 105, Santa Coloma",OPERATIONAL,1.4976555,42.4930253,"42.4930253,1.4976555",1.4976555
Go AND Padel,"Av. Nacions Unides 17, 4to 1ra, Escaldes-Engordany",OPERATIONAL,1.5347241,42.50976929999999,"42.50976929999999,1.5347241",1.5347241
Camp d'Andorra,Andorra la Vella,OPERATIONAL,1.5293988,42.5007953,"42.5007953,1.5293988",1.5293988
Club & Escola. Tennis & Pàdel. La Massana ANDORRA,"Tennis & Pàdel Club (La Massana - Serradells, Antic Camí Ral, s/n, La Massana",OPERATIONAL,1.516863,42.544344,"42.544344,1.516863",1.516863
MyWorldPadel,"Av. Príncep Benlloch, Encamp",OPERATIONAL,1.5787433,42.534741,"42.534741,1.5787433",1.5787433
Padelife,"Carrer Verge del Remei, Santa Coloma",OPERATIONAL,1.499615,42.4941594,"42.4941594,1.499615",1.499615
Padel Nuestro Andorra,"Carrer de na Maria Pla, 8, Andorra la Vella",OPERATIONAL,1.5332684,42.5077064,"42.5077064,1.5332684",1.5332684
Club Tennis Santa Coloma,"Carrer Verge del Remei, 11, Santa Coloma",OPERATIONAL,1.4993546,42.49412419999999,"42.49412419999999,1.4993546",1.4993546
Unió Esports,"Carrer Mossen Cinto Verdaguer nº2, local, 2, Andorra la Vella",OPERATIONAL,1.5223098,42.508518,"42.508518,1.5223098",1.5223098
"AnyósPark, el Club","Carretera d'Anyós, sn, Anyós, La Massana",OPERATIONAL,1.5239574,42.53267779999999,"42.53267779999999,1.5239574",1.5239574
Pista de Padel Click&Padel,Bellver de Cerdanya,OPERATIONAL,1.7771979,42.3683357,"42.3683357,1.7771979",1.7771979
Pista de padel Queixans,"Camí Mas d'en Serra, 7, Queixans",OPERATIONAL,1.9192868,42.3954369,"42.3954369,1.9192868",1.9192868
Pistes de Padel,"Carrer del Ginebró, 1, Bolvir",OPERATIONAL,1.873,42.41683,"42.41683,1.873",1.873
CLUB ESPORTIU CERDANYA,"Avinguda de Llevant, 5, Das",OPERATIONAL,1.8591493,42.364973,"42.364973,1.8591493",1.8591493
La Molina Club d'Esports,"Avinguda Supermolina, La Molina",OPERATIONAL,1.9373797,42.33628059999999,"42.33628059999999,1.9373797",1.9373797
