Insee - Statistiques locales; ; ; ; 
Référentiel géographique : France par commune; ; ; ; 
Code;Libellé;Population municipale 2020;Répartition de la pop. en 3 classes d'âges 2019 - Moins de 25 ans;Répartition de la pop. en 3 classes d'âges 2019 - Entre 25 et 64 ans;Répartition de la pop. en 3 classes d'âges 2019 - 65 ans ou plus;Part des pers. âgées de 25 à 64 ans 2019
01149;Douvres;1094;320;568;189;52.7
01150;Drom;214;60;126;28;58.9
01151;Druillat;1139;313;570;263;49.8
01152;Échallon;756;206;405;136;54.2
01153;Échenevex;2123;723;1155;237;54.6
01155;Évosges;142;32;80;31;55.6
01156;Faramans;843;264;443;108;54.3
01157;Fareins;2339;680;1126;443;50.1
01158;Farges;1053;343;581;123;55.5
01159;Feillens;3366;916;1760;689;52.3
01160;Ferney-Voltaire;10612;2932;5832;1262;58.2
01162;Flaxieu;65;20;31;14;47.7
01163;Foissiat;2016;561;1014;463;49.8
01165;Francheleins;1586;515;853;226;53.5
01166;Frans;2417;717;1304;402;53.8
01167;Garnerans;657;168;348;117;55
01169;Genouilleux;651;198;368;75;57.3
01170;Béard-Géovreissiat;1044;371;588;93;55.9
01171;Géovreisset;830;234;486;124;57.6
01173;Gex;13177;3895;7896;1330;60.2
01174;Giron;176;50;98;30;55.1
01175;Gorrevod;790;225;403;156;51.4
01177;Grand-Corent;184;48;84;51;45.9
01179;Grièges;1884;491;956;433;50.8
01180;Grilly;842;238;446;154;53.2
01181;Groissiat;1241;350;626;265;50.4
01183;Guéreins;1487;450;775;254;52.4
01184;Hautecourt-Romanèche;756;223;378;161;49.6
01185;Plateau d'Hauteville;4824;1201;2278;1365;47
01187;Haut Valromey;615;123;338;157;54.7
01188;Illiat;681;220;350;92;52.9
01189;Injoux-Génissiat;1123;342;627;146;56.2
01190;Innimond;86;19;43;25;49.4
01191;Izenave;152;39;80;35;51.9
01192;Izernore;2272;716;1227;334;53.9
01193;Izieu;220;45;118;59;53.2
01194;Jassans-Riottier;6337;1845;3104;1397;48.9
01195;Jasseron;1822;523;880;380;49.4
01196;Jayat;1241;426;629;170;51.3
01197;Journans;377;89;186;76;52.9
01198;Joyeux;266;86;149;32;55.7
01199;Jujurieux;2129;660;1067;410;49.9
01200;Labalme;213;61;114;39;53
01202;Lagnieu;7214;2053;3680;1428;51.4
01203;Laiz;1306;392;713;208;54.3
01204;Le Poizat-Lalleyriat;746;237;384;114;52.2
01206;Lantenay;274;77;147;53;53.1
01207;Lapeyrouse;314;97;184;36;57.9
01208;Lavours;135;30;61;40;46.7
01209;Léaz;796;258;428;92;55
01210;Lélex;231;51;132;45;58.1
01211;Lent;1397;405;729;261;52.3
01212;Lescheroux;712;223;354;141;49.3
01213;Leyment;1332;446;752;143;56.1
01214;Leyssard;161;38;88;31;55.9
01215;Surjoux-Lhopital;143;37;80;23;57
01216;Lhuis;893;209;455;231;50.9
01219;Lompnas;162;41;88;35;53.7
01224;Loyettes;3296;1140;1669;416;51.8
01225;Lurcy;383;90;204;78;54.9
01227;Magnieu;642;175;341;127;53
01228;Maillat;668;189;355;116;53.8
01229;Malafretaz;1226;386;612;237;49.6
01230;Mantenay-Montlin;310;86;154;73;49.3
01231;Manziat;1948;533;996;418;51.1
01232;Marboz;2275;634;1155;487;50.7
01233;Marchamp;130;34;65;32;49.6
01234;Marignieu;167;37;95;37;56.2
01235;Marlieux;1179;403;568;188;49
01236;Marsonnas;1021;309;513;189;50.7
01237;Martignat;1674;544;883;240;53
01238;Massieux;2709;841;1367;462;51.2
01239;Massignieu-de-Rives;631;171;305;144;49.2
01240;Matafelon-Granges;628;174;354;99;56.5
01241;Meillonnas;1379;350;724;282;53.4
01242;Mérignat;136;44;72;19;53.3
01243;Messimy-sur-Saône;1262;382;641;230;51.2
01244;Meximieux;7998;2561;3971;1391;50.1
01245;Bohas-Meyriat-Rignat;950;284;480;179;50.9
01246;Mézériat;2204;694;1105;417;49.9
01247;Mijoux;299;85;181;47;57.9
01248;Mionnay;2245;654;1240;303;56.4
01249;Miribel;10202;3211;5247;1664;51.8
01250;Misérieux;1979;704;998;272;50.6
01252;Mogneneins;796;237;415;134;52.8
01254;Montagnat;2142;624;1095;397;51.8
01255;Montagnieu;651;207;325;115;50.2
01257;Montanges;351;93;202;56;57.5
01258;Montceaux;1194;351;677;162;56.9
01259;Montcet;708;224;391;87;55.6
01260;Le Montellier;304;100;164;38;54.3
01261;Monthieux;681;201;368;99;55.1
01262;Montluel;6864;2163;3462;1261;50.3
01263;Montmerle-sur-Saône;3761;1097;1843;833;48.9
01264;Montracol;1017;312;536;168;52.8
01265;Montréal-la-Cluse;3499;1080;1805;571;52.2
01266;Montrevel-en-Bresse;2576;662;1154;760;44.8
01267;Nurieux-Volognat;1008;312;536;177;52.3
01268;Murs-et-Gélignieux;244;68;116;62;47.2
01269;Nantua;3453;1110;1655;690;47.9
01272;Neuville-les-Dames;1490;416;744;340;49.6
01273;Neuville-sur-Ain;1799;544;983;273;54.6
01274;Les Neyrolles;632;224;318;103;49.3
01275;Neyron;2596;760;1361;448;53
01276;Niévroz;1627;526;901;197;55.5
01277;Nivollet-Montgriffon;115;31;66;20;56.3
01279;Oncieu;77;17;41;22;51.2
01280;Ordonnaz;136;37;68;33;48.9
01281;Ornex;4591;1477;2483;523;55.4
01282;Outriaz;258;67;138;53;53.5
01283;Oyonnax;22271;7349;11070;4037;49.3
01284;Ozan;700;208;388;98;55.9
01285;Parcieux;1334;412;626;192;50.9
01286;Parves et Nattages;959;238;495;218;52.1
01288;Péron;2777;858;1612;248;59.3
01289;Péronnas;6460;1774;3055;1691;46.9
01290;Pérouges;1309;330;665;277;52.3
01291;Perrex;844;223;459;160;54.6
01293;Peyriat;145;45;79;24;53.5
01294;Peyrieu;897;248;474;165;53.5
01295;Peyzieux-sur-Saône;676;265;377;44;55
01296;Pirajoux;413;134;213;73;50.7
01297;Pizay;890;284;473;110;54.6
01298;Plagne;157;40;75;35;50
01299;Le Plantay;589;175;332;77;56.8
01301;Polliat;2606;699;1323;525;52
01302;Pollieu;165;31;87;45;53.3
01303;Poncin;1696;524;818;357;48.1
01304;Pont-d'Ain;2904;904;1445;575;49.4
01305;Pont-de-Vaux;2195;537;992;684;44.8
01306;Pont-de-Veyle;1637;465;742;434;45.2
01307;Port;840;229;422;185;50.5
01308;Pougny;803;249;421;137;52.2
01309;Pouillat;83;26;41;18;47.7
01310;Prémeyzel;249;42;174;35;69.3
01311;Prémillieu;44;9;26;9;59.1
01313;Prévessin-Moëns;8948;2921;4936;855;56.7
01314;Priay;1725;511;945;273;54.6
01317;Ramasse;331;107;175;48;53
01318;Rancé;735;235;402;89;55.4
01319;Relevant;467;140;245;81;52.7
01320;Replonges;3833;1123;1906;763;50.3
01321;Revonnas;892;282;453;153;51
01322;Reyrieux;5050;1571;2473;940;49.6
01323;Reyssouze;1018;278;505;206;51.1
01325;Rignieux-le-Franc;1065;291;571;170;55.3
01328;Romans;606;162;288;146;48.3
01329;Rossillon;157;23;85;45;55.6
01330;Ruffieu;180;36;94;52;51.7
01331;Saint-Alban;192;52;106;29;56.8
01332;Saint-André-de-Bâgé;792;234;422;123;54.2
01333;Saint-André-de-Corcy;3366;988;1717;664;51
01334;Saint-André-d'Huiriat;680;215;371;72;56.4
01335;Saint-André-le-Bouchoux;410;145;204;53;50.7
01336;Saint-André-sur-Vieux-Jonc;1187;367;587;221;50
01337;Saint-Bénigne;1336;403;645;263;49.2
01338;Groslée-Saint-Benoit;1245;369;621;237;50.6
01339;Saint-Bernard;1484;381;717;365;49
01342;Sainte-Croix;546;178;306;70;55.3
01343;Saint-Cyr-sur-Menthon;1822;557;961;275;53.6
01344;Saint-Denis-lès-Bourg;5971;1606;2896;1441;48.7
01345;Saint-Denis-en-Bugey;2245;666;1144;456;50.5
01346;Saint-Didier-d'Aussiat;852;257;447;154;52.1
01347;Saint-Didier-de-Formans;2072;621;1059;356;52
01348;Saint-Didier-sur-Chalaronne;3003;904;1466;567;49.9
01349;Saint-Éloi;523;123;284;96;56.4
01350;Saint-Étienne-du-Bois;2538;689;1269;584;49.9
01351;Saint-Étienne-sur-Chalaronne;1602;527;836;208;53.2
01352;Saint-Étienne-sur-Reyssouze;586;184;284;115;48.7
01353;Sainte-Euphémie;1723;562;944;194;55.6
01354;Saint-Genis-Pouilly;14274;4617;8008;1318;57.4
01355;Saint-Genis-sur-Menthon;484;142;275;68;56.7
01356;Saint-Georges-sur-Renon;203;68;111;29;53.6
01357;Saint-Germain-de-Joux;502;143;278;81;55.4
01358;Saint-Germain-les-Paroisses;426;114;219;96;51.1
01359;Saint-Germain-sur-Renon;251;65;142;39;57.9
01360;Saint-Jean-de-Gonville;1934;572;1115;208;58.8
01361;Saint-Jean-de-Niost;1600;478;856;243;54.3
01362;Saint-Jean-de-Thurigneux;809;256;429;101;54.5
01363;Saint-Jean-le-Vieux;1786;503;946;323;53.4
01364;Saint-Jean-sur-Reyssouze;767;204;376;176;49.7
01365;Saint-Jean-sur-Veyle;1165;351;608;203;52.3
01366;Sainte-Julie;1088;375;595;111;55
01367;Saint-Julien-sur-Reyssouze;726;236;354;157;47.4
01368;Saint-Julien-sur-Veyle;842;287;427;124;50.9
01369;Saint-Just;955;235;524;184;55.6
01370;Saint-Laurent-sur-Saône;1674;415;918;355;54.4
01371;Saint-Marcel;1221;417;710;116;57.1
01372;Saint-Martin-de-Bavel;441;145;222;77;50
01373;Saint-Martin-du-Frêne;1009;278;555;191;54.2
01374;Saint-Martin-du-Mont;1877;541;984;346;52.6
01375;Saint-Martin-le-Châtel;788;228;418;136;53.5
01376;Saint-Maurice-de-Beynost;4066;1248;1972;742;49.8
01378;Saint-Maurice-de-Gourdans;2699;821;1442;382;54.5
01379;Saint-Maurice-de-Rémens;762;250;393;117;51.7
01380;Saint-Nizier-le-Bouchoux;612;159;309;164;49
01381;Saint-Nizier-le-Désert;920;324;489;109;53.1
01382;Sainte-Olive;305;79;148;52;52.9
01383;Saint-Paul-de-Varax;1583;523;782;257;50.1
01384;Saint-Rambert-en-Bugey;2172;664;1068;456;48.8
01385;Saint-Rémy;964;281;531;173;53.9
01386;Saint-Sorlin-en-Bugey;1117;330;591;206;52.4
01387;Saint-Sulpice;256;91;135;30;52.7
01388;Saint-Trivier-de-Courtes;1116;263;470;369;42.6
01389;Saint-Trivier-sur-Moignans;1823;528;946;359;51.6
01390;Saint-Vulbas;1247;367;686;193;55.1
01391;Salavre;273;49;130;92;48
01392;Samognat;654;190;373;92;56.9
01393;Sandrans;555;190;289;65;53.1
01396;Sault-Brénaz;987;258;503;216;51.5
01397;Sauverny;988;275;527;176;53.9
01398;Savigneux;1438;486;771;163;54.3
01399;Ségny;2145;663;1180;264;56
01400;Seillonnaz;139;32;75;31;54
01401;Sergy;2209;710;1154;303;53.2
01402;Sermoyer;650;163;340;150;52.1
01403;Serrières-de-Briord;1310;380;649;266;50.2
01404;Serrières-sur-Ain;134;25;74;36;54.5
01405;Servas;1273;426;683;171;53.4
01406;Servignat;173;45;91;38;52.3
01407;Seyssel;1006;296;522;184;52.1
01408;Simandre-sur-Suran;659;199;343;119;51.9
01410;Sonthonnax-la-Montagne;299;80;171;49;57
01411;Souclin;271;82;140;52;51.1
01412;Sulignat;611;187;318;90;53.4
01415;Talissieu;524;105;242;152;48.5
01416;Tenay;1012;262;495;257;48.8
01418;Thil;1103;340;580;167;53.3
01419;Thoiry;6119;1847;3484;689;57.9
01420;Thoissey;1664;455;752;483;44.5
01421;Torcieu;734;209;383;137;52.5
01422;Tossiat;1354;368;729;258;53.8
01423;Toussieux;1169;384;626;114;55.7
01424;Tramoyes;1823;542;967;267;54.4
01425;La Tranclière;284;75;149;63;51.9
01426;Val-Revermont;2506;710;1344;485;52.9
01427;Trévoux;6945;2259;3620;1041;52.3
01428;Valeins;128;47;60;19;47.6
01429;Vandeins;714;221;373;112;52.8
01430;Varambon;636;177;341;101;55
01431;Vaux-en-Bugey;1224;363;638;226;52
01432;Verjon;333;95;167;61;51.7
01433;Vernoux;306;103;175;35;55.9
01434;Versailleux;488;152;254;66;53.8
01435;Versonnex;2146;710;1181;266;54.8
01436;Vesancy;492;114;284;83;59
01437;Vescours;221;66;111;46;49.8
01439;Vésines;99;26;59;14;59.6
01441;Vieu-d'Izenave;743;238;396;100;54
01443;Villars-les-Dombes;4946;1399;2507;1071;50.4
01444;Villebois;1195;330;645;221;53.9
01445;Villemotier;628;199;315;101;51.2
