Insee - Statistiques locales; ; ; ; 
Référentiel géographique : France par intercommunalité; ; ; ; 
Code;Libellé;Population municipale 2020;Répartition de la pop. en 3 classes d'âges 2019 - Moins de 25 ans;Répartition de la pop. en 3 classes d'âges 2019 - Entre 25 et 64 ans;Répartition de la pop. en 3 classes d'âges 2019 - 65 ans ou plus;Part des pers. âgées de 25 à 64 ans 2019
200034718;CC de Vitry, Champagne et Der;23654;6185;11879;5577;50.2
200034726;CC Bastides de Lomagne;11285;2843;5577;2834;49.6
200034825;CA du Grand Guéret;28427;6999;14415;7113;50.5
200034833;CC des Bastides Dordogne-Périgord;18625;3568;8832;6242;47.4
200034874;CC Côtes de Meuse Woëvre;5983;1685;3168;1124;53
200034882;CC Pays du Mont-Blanc;45436;11939;24019;9222;53.2
200034957;CC du Frontonnais;27716;8615;14448;4155;53.1
200035087;CA Terre de Provence;59920;16272;30507;12995;51
200035103;CC de la Vallée de la Haute Sarthe;7500;2099;3673;1783;48.6
200035111;CC des Sources de l'Orne;11919;3359;5629;2925;47.2
200035129;CC de Cèze Cévennes;19191;4109;9114;6004;47.4
200035137;CC Marche Occitane - Val d'Anglin;6563;1216;3110;2284;47
200035202;CC Charlieu-Belmont;23513;6279;11471;5703;48.9
200035319;CA Estérel Côte d'Azur Agglomération;116830;26339;53205;36724;45.8
200035327;CC Cazals-Salviac;5372;1025;2495;1846;46.5
200035442;CC du Sud-Artois;27142;8204;13910;5117;51.1
200035533;CC du Grand Saint-Émilionnais;14314;3746;7499;3166;52
200035541;CC des Landes d'Armagnac;10782;2339;5187;3262;48.1
200035632;CC Armagnac Adour;6685;1405;3285;2098;48.4
200035707;CC Piège Lauragais Malepère;16042;4292;7715;3868;48.6
200035715;CA Carcassonne Agglo;113933;30349;56156;27428;49.3
200035723;CC Ventoux Sud;9538;2408;4953;2113;52.3
200035731;CA Roannais Agglomération;100914;26650;47433;26179;47.3
200035756;CC Astarac Arros en Gascogne;7176;1511;3601;2074;50.1
200035764;CC de la Beauce Loirétaine;16905;5327;8818;2769;52.1
200035772;CC du Pays du Saintois;14259;4085;7509;2720;52.5
200035814;CA Flers Agglo;53227;14424;25608;13522;47.8
200035848;CC du Châtillonnais en Berry;5656;1099;2433;2160;42.7
200035855;CC Castelnaudary Lauragais Audois;27723;7831;13714;5832;50.1
200035863;CC Région Lézignanaise, Corbières et Minervois;33259;8682;16123;8631;48.2
200035970;CC Vexin Centre;24861;7742;13186;3839;53.2
200036069;CC du Pays de Mortagne-au-Perche;13525;3379;6469;3727;47.7
200036077;CC du Golfe de Saint-Tropez;57844;13000;28636;15653;50
200036135;CC Cœur de France;18224;4116;8431;5755;46.1
200036150;CC des Hauts du Val de Saône;8393;1985;3926;2519;46.6
200036465;CC de Thann-Cernay;37472;10103;19642;7643;52.5
200036473;CA de Saintes;60447;14796;29744;15570;49.5
200036499;CC de Marana-Golo;24425;6896;13352;3783;55.6
200036523;CC des Bastides en Haut-Agenais Périgord;16988;3827;8028;5124;47.3
200036549;CC Val de Gray;20372;5469;9814;5158;48
200037059;CC de la Haute Somme (Combles - Péronne - Roisel);26767;7466;13661;5924;50.5
200037133;CC du Provinois;34631;11085;17456;6150;50.3
200038958;CC de la Pieve de l'Ornano et du Taravo;13117;2490;6526;3946;50.3
200038990;CC de Saint-Méen Montauban;26808;8487;13285;4864;49.9
200039022;CA Vitré Communauté;82158;26073;41873;13743;51.3
200039055;CC Ouche et Montagne;10995;3018;5666;2209;52
200039063;CC Forêts, Seine et Suzon;7066;1853;3467;1716;49.3
200039204;CC de Lacq-Orthez;52674;13783;26172;12862;49.6
200039519;CC du Quercy Blanc;7740;1592;3728;2416;48.2
200039642;CC Le Tonnerrois en Bourgogne;15332;3524;7477;4518;48.2
200039709;CC du Serein;7110;1508;3678;1987;51.3
200039758;CC Avallon, Vézelay, Morvan;18503;4308;9182;5118;49.3
200039808;CC des Gorges de l'Ardèche;15460;3331;7602;4434;49.5
200039824;CC Ardèche des Sources et Volcans;9742;2168;4597;2938;47.4
200039832;CC Pays des Vans en Cévennes;9397;1906;4388;3044;47
200039857;CA du Pays de Grasse;100328;27396;51537;21229;51.5
200039865;Metz Métropole;227374;66800;115843;42220;51.5
200039907;CC du Sud Messin;16685;4867;9036;2633;54.6
200039915;CA Cannes Pays de Lérins;157873;37311;77368;45095;48.4
200039931;CC Alpes d'Azur;9749;2243;4786;2628;49.6
200039949;CC Rives de Moselle;52774;14706;27563;10044;52.7
200040038;CC Saône Doubs Bresse;12136;3340;6242;2623;51.1
