name,address,business_status,latitude,longitude
Pàdel Indoor Figueres,"Carrer Itàlia, 30, Figueres",OPERATIONAL,42.2632988,2.9829373
Pàdel Club Vilacolum,"Carrer Clavells, 24, Torroella de Fluvià",OPERATIONAL,42.1965453,3.0330041
The Padel Factory,"Carrer Sant Grau, 1, Albons",OPERATIONAL,42.1045445,3.0836993
Club de Tennis L'Escala,"Carrer de l'Escorxador, 79, L'Escala",OPERATIONAL,42.1224174,3.1287379
Club Tennis Alt Empordà Figueres,"Pujada del Castell, 53, Figueres",OPERATIONAL,42.2697575,2.9552201
Club Tennis Figueres,"Carrer del Camí de la Bòbila, s/n, Santa Llogaia d'Àlguema",OPERATIONAL,42.23760499999999,2.961587
Hat-Trick Palol de Vilatenim - EPSI,"Palol de Vilatenim 17600, Palol",OPERATIONAL,42.2722231,3.0162165
Padbol Vilafant,"Diseminado, 1, Vilafant",OPERATIONAL,42.243595,2.957323
Centre Esportiu Vilafant,"Disseminat, s/n, Vilafant",OPERATIONAL,42.2437651,2.9586291
Agi Rescator Sports,"Carrer Amsterdam, 27, El Mas Oliva",OPERATIONAL,42.2713343,3.1912533
Club Tennis Padel Roses,"Ctra. Mas Oliva, 53, Roses",OPERATIONAL,42.269231,3.183961
Club de Tennis L'Escala,"Carrer de l'Escorxador, 79, L'Escala",OPERATIONAL,42.1224174,3.1287379
Agi Rescator Sports,"Carrer Amsterdam, 27, El Mas Oliva",OPERATIONAL,42.2713343,3.1912533
Pistas de Pádel,"Cjón. Huertas San Zoilo, 3, Carrión de los Condes",OPERATIONAL,42.3365156,-4.607797
Pistas de Padel,"Av. Carr. de Abia, s/n, Osorno",OPERATIONAL,42.4135749,-4.362204699999999
Pista de Pádel,Osornillo,OPERATIONAL,42.3702355,-4.2895654
+Padel,"Calle Condado de Treviño, 67 naves 34-35, Burgos",OPERATIONAL,42.3722134,-3.7222659
Blues padel,"C. Condado de Treviño, 40, Burgos",OPERATIONAL,42.3723446,-3.7139503
Pista de pádel de Arroyal,Alfoz de Quintanadueñas,OPERATIONAL,42.4101711,-3.7449391
Pista de Padel Quintanaortuño,"Diseminado Diseminados, 1, Quintanaortuño",OPERATIONAL,42.4538461,-3.6860105
Pistas de pádel,"C. la Motilla, 4, Villagonzalo Pedernales",OPERATIONAL,42.3004506,-3.739499699999999
Pista de pádel Villalbilla,"Urb. San Roque, 32, Villalbilla de Burgos",OPERATIONAL,42.3443891,-3.7772299
CDM General Yagüe,"Av. de la Constitución Española, 7, Burgos",OPERATIONAL,42.3474837,-3.6757549
